"","TLS_ID","stemlocx_.m._x","stemlocy_.m._x","Vol_QSM_avg_.m3._x","BLEN..m.","Hgt_pts_.m._x","DBH_TLS_.m._x","DBH_census_.m._x","leaf_area","leaf_area_start","hmean"
"565","122i",21.84889636,118.0653647,1.1303,529.5021594,17.3029069,0.2748,0.269,145.9,291.7,4.36191470092994
"566","1268a",107.4650971,163.072235,1.2169,597.6998462,19.9404514,0.355572868,0.316,164.7,329.3,3.6274751983919
"567","1268b",107.8459383,163.5444305,2.3765,1353.341063,19.9785984,0.403894993,0.398,372.8,745.7,15.6972619058393
"568","1278a",113.1638851,120.9779435,1.2007,718.9995568,19.1689352,0.264822311,0.267,198.1,396.2,15.1535590356877
"569","1278b",113.495755,121.1880709,0.2803,171.2045367,17.8859291,0.157683961,0.172,47.2,94.3,6.09780013471246
"570","1377a",36.55271842,111.653254,0.4051,243.4879846,16.4356419,0.187952832,0.181,67.1,134.2,12.0634406610719
"571","1377b",36.00831148,111.7094824,0.010424,25.79622255,5.2981739,0.046319109,0.049,7.1,14.2,3.48819001603073
"572","138a",55.49614879,111.3598934,1.9289,478.1929834,23.763274,0.357936611,0.366,131.7,263.5,19.3991143727584
"573","138b",55.53928879,110.9275133,2.1021,561.6584402,23.765322,0.366352794,0.377,154.7,309.5,7.8953455916829
"574","1390a",5.080998688,135.1463317,0.2951,187.3410586,15.2921539,0.189053441,0.186,51.6,103.2,9.5879209375358
"575","1390b",4.893845664,135.1342785,0.177,115.2658589,13.8149186,0.125584595,0.126,31.8,63.5,7.82044004656943
"576","139a",93.00058527,123.4924884,4.8073,1248.228326,26.717695,0.495485535,0.515,343.9,687.7,22.3822092259281
"577","139b",92.36611477,123.7532452,0.04234,53.04380138,5.0338973,0.06836,0.08,14.6,29.2,2.54253065663854
"578","1436a",13.84455802,103.4585815,1.4624,496.2292204,16.4149217,0.36874755,0.365,136.7,273.4,12.3340671801347
"579","1436b",13.41248433,103.3717944,0.373,138.5808252,15.4718032,0.20996318,0.231,38.2,76.4,3.4639691903383
"580","1438a",54.53648589,196.7927588,0.08412,103.974218,10.5039418,0.08772,0.096,28.6,57.3,6.89287998124072
"581","1438b",55.02237322,196.8147761,0.3069,224.9436424,14.4813361,0.158613311,0.143,62,123.9,9.25792697274906
"582","145a",23.54109228,175.4841042,3.2312,1525.723422,19.9647708,0.446760427,0.46,420.3,840.6,10.0244825360206
"583","145c",23.97123995,176.3766773,0.008696,9.767391209,3.374485,0.04837,NA,2.7,5.4,1.45516046263496
"584","145e",23.61782857,176.8458284,0.02155,41.46869262,5.458375,0.05526,NA,11.4,22.8,2.61958791494833
"585","1480a",138.3227396,157.18793,0.1697,162.1006738,12.1953678,0.12768138,NA,44.7,89.3,8.32157510923031
"586","1480b",139.0012049,156.687435,0.2348,188.5784461,12.6292823,0.129776472,NA,52,103.9,7.7928247682916
"587","1480c",138.9191804,157.1811871,1.5202,851.1535686,20.3932802,0.33816847,NA,234.5,469,14.9443644338819
"588","1480d",138.3040434,157.6314478,0.2618,193.7805194,14.0347588,0.163921806,NA,53.4,106.8,10.854609175647
"589","1501a",43.62507096,103.6021697,0.4264,172.2207226,18.0763005,0.19417197,0.198,47.4,94.9,13.0950207553519
"590","1501b",43.33363239,103.6893579,0.4784,192.6256881,20.4174295,0.196769754,0.201,53.1,106.1,13.065339679941
"591","1513a",116.2175901,127.7297635,1.2531,335.4770304,24.5261082,0.282835045,0.29,92.4,184.8,17.0243525477387
"592","1513b",116.1455356,127.4399986,0.1553,62.2163602,15.2183914,0.12732,0.159,17.1,34.3,7.30120289250829
"593","1532a",53.51714727,171.7609768,0.4169,310.8614014,14.8668482,0.173589437,0.181,85.6,171.3,7.60385547523045
"594","1532b",53.64657335,172.246392,0.09003,109.6611652,10.4006332,0.109650992,0.117,30.2,60.4,8.22068635768141
"595","1570a",108.8945186,131.6049933,1.9683,554.5474389,25.78289,0.327444461,0.344,152.8,305.5,11.6485481571373
"596","1570b",109.0540753,131.0491757,0.5383,223.1638229,23.47443,0.1864,0.198,61.5,123,14.6964448039004
"597","1581b",126.8586368,151.9281194,0.7108,203.6199781,23.582954,0.228599661,0.234,56.1,112.2,19.5111931849334
"598","1593a",104.6396462,167.6994086,0.3375,301.5040616,14.5615245,0.150509614,0.15,83.1,166.1,9.66451140516978
"599","1593c",103.8943256,167.7622665,0.4652,356.5155207,15.6813503,0.177867626,0.19,98.2,196.4,4.63434134446584
"600","1593d",104.1796934,167.6498598,0.238,133.0933664,12.24609101,0.15938356,0.162,36.7,73.3,9.63714869103547
"601","1657a",25.39344438,134.3776291,0.3018,292.5450593,11.91758978,0.156635924,0.161,80.6,161.2,7.28479954323405
"602","1657b",24.65551728,134.117406,0.04119,69.69510777,7.3622982,0.06505,0.072,19.2,38.4,4.24846609136043
"603","1679a",133.7030902,109.2198752,0.3904,267.6092143,14.7132776,0.141790099,0.146,73.7,147.4,9.47573583351165
"604","1745a",21.57095845,132.7215978,0.2356,321.7033176,9.6423695,0.1158,0.112,88.6,177.3,5.2602210597491
"605","1745b",21.1153381,133.6472626,0.04855,104.0463319,5.350875,0.05966,0.064,28.7,57.3,2.70189545055482
"606","174a",63.63293604,154.8044276,3.96,1658.780469,21.9614641,0.456272888,0.473,457,913.9,7.48682408933244
"607","174b",64.3018355,154.8520498,0.1966,151.237043,11.8551817,0.148006726,0.15,41.7,83.3,5.26225187841208
"608","175a",19.97012164,103.1631258,0.1324,148.9765697,10.6461454,0.110031359,0.115,41,82.1,5.11959921915559
"609","175b",19.22821566,103.8623538,0.06775,81.12374888,7.1506619,0.101297313,0.096,22.3,44.7,3.39008044182863
"610","175c",19.32310688,103.3326299,2.1765,1021.155681,19.3509136,0.390359969,0.385,281.3,562.6,12.8483229798889
"611","1789a",19.98953829,141.4217419,0.052,35.52393588,6.7495417,0.138954954,0.105,9.8,19.6,3.77835358141543
"612","1789b",20.36848743,141.2730394,0.1192,69.93401923,8.8802615,0.136499243,0.136,19.3,38.5,5.32119126184581
"613","1800a",108.7963274,105.7974544,0.6983,238.0417004,21.8488686,0.182152352,0.206,65.6,131.2,5.05355461869584
"614","1800b",109.2356607,105.5470634,0.1963,144.3637102,13.4884729,0.124718206,0.124,39.8,79.5,5.76543675522402
"615","180a",111.8543641,137.3285698,3.0597,874.1200642,25.456307,0.475224785,0.467,240.8,481.6,20.1640816080068
"616","180b",111.1767599,137.9569112,0.013325,11.83842069,3.5584159,0.05313,NA,3.3,6.5,1.07549378154628
"617","1822a",75.71161199,183.6955006,0.126,184.2776984,10.8801342,0.103494046,0.086,50.8,101.5,5.20026426999084
"618","1822b",75.97966116,184.4652463,0.1949,363.5062586,6.456043,0.08632,0.078,100.1,200.3,2.64499809252756
"619","1822c",75.70258262,183.3272828,0.2001,322.0494683,9.913604,0.1002,0.105,88.7,177.4,5.44661035986731
"620","1822d",76.07759568,183.3701982,0.03419,151.3526356,7.500686,0.056362663,0.055,41.7,83.4,2.46137893835625
"621","1822e",75.94472374,183.4193585,0.2579,350.268427,12.1398747,0.10436364,0.096,96.5,193,6.86843937393176
"622","184a",95.95665557,130.4158672,2.4986,681.0203499,26.392242,0.406345629,NA,187.6,375.2,15.1233432552684
"623","1861a",110.7645113,163.8203601,0.6583,445.323233,18.3867036,0.228841877,0.216,122.7,245.4,7.73288860555967
"624","1861b",110.4688892,163.4381044,0.09374,74.35282073,9.5108694,0.096388693,0.096,20.5,41,5.43803906742779
"625","197a",7.066200058,164.5947945,4.3264,1471.851077,22.4575631,0.520389759,0.529,405.5,811,13.6850894184791
"626","197b",6.198768534,164.7781251,0.07563,151.1345755,8.27573,0.089729905,0.096,41.6,83.3,4.48814270085521
"627","2006a",107.4786634,147.9454141,0.06112,95.42454706,10.04104557,0.079187506,0.089,26.3,52.6,5.40354477351547
"628","2006b",107.3299721,147.4886626,0.2553,301.2443893,15.2198829,0.121811959,0.128,83,166,8.88843343158334
"629","201a",96.30183345,150.6421541,1.9401,859.3983943,19.379168,0.354083416,0.375,236.8,473.5,12.3613741199539
"630","201b",96.62914942,150.2135531,1.7977,754.3662408,19.0634079,0.378665715,0.374,207.8,415.6,12.715466008245
"631","2024b",132.1901185,115.2307563,0.02868,34.62594636,7.2436454,0.06255,0.059,9.5,19.1,3.32072285037166
"632","2049a",53.28227859,174.0003491,0.4233,407.696194,15.5903102,0.171951136,0.18,112.3,224.6,7.76359210064099
"633","2053a",7.793280412,176.3384004,0.05616,43.58624452,9.552181,0.091099331,0.093,12,24,4.94980517558743
"634","2053c",7.546174769,177.071995,0.1554,142.9187675,7.959316,0.1278,0.13,39.4,78.7,4.51069277689356
"635","2053d",7.161159181,176.6291596,0.07034,101.7530741,7.990072,0.07546,0.068,28,56.1,5.39803674024686
"636","2070a",50.52333998,120.0699953,0.3865,419.7307867,10.9524706,0.189065075,0.198,115.6,231.3,5.81304532930372
"637","2070b",49.92135156,121.512859,0.04749,83.41080076,2.8913751,0.07323,0.063,23,46,1.16063010180663
"638","2083a",26.55158202,121.8071264,0.1599,132.5734282,13.32270746,0.147504482,0.125,36.5,73,10.5248408112465
"639","2083b",26.66803161,122.0299365,0.0375,20.16427151,9.2676589,0.07653807,0.079,5.6,11.1,4.04212430789809
"640","20a",6.685826655,113.5960999,3.9128,1364.238244,18.784351,0.481827599,0.489,375.8,751.7,13.5065048410255
"641","20b",7.088809764,113.1355588,0.6228,215.6711314,16.17465583,0.238708551,0.251,59.4,118.8,12.627201468888
"642","2128a",12.56084817,144.0801726,0.01205,27.51033603,4.971444,0.067118907,NA,7.6,15.2,1.44401038276333
"643","2128b",12.4162618,144.3508124,0.08914,121.8516697,9.3675541,0.07718,0.084,33.6,67.1,6.12849810044537
"644","2128c",12.89802348,144.3143297,0.1377,149.007337,10.1988177,0.112804082,0.12,41,82.1,2.52029477532977
"645","213a",115.1566402,129.7813749,1.2296,397.6692927,24.8557998,0.282097695,0.298,109.6,219.1,15.2149033859071
"646","213b",115.4595312,130.192071,3.1679,983.1103087,25.1603813,0.408420284,0.411,270.8,541.7,20.4015434447262
"647","220a",37.4026709,110.319581,0.1864,97.34138459,13.9707296,0.136676366,0.139,26.8,53.6,7.74445041614465
"648","220b",37.31754519,109.6217325,0.07314,15.64034197,9.6912367,0.142702291,0.121,4.3,8.6,2.19803390909815
"649","220c",36.98514549,109.4721826,1.1415,375.2483233,21.7155397,0.278606212,0.285,103.4,206.8,6.75182273112236
"650","220d",36.61479909,109.6932137,1.7498,720.8753102,21.6513944,0.325797267,0.332,198.6,397.2,15.7679885247589
"651","2280a",25.56578817,118.8074791,0.3429,213.413962,15.3960618,0.151476627,0.165,58.8,117.6,7.33287160505387
"652","2280b",25.59161434,119.2361947,0.2564,183.0803659,14.795266,0.143611693,0.151,50.4,100.9,11.5029024191742
"653","2309b",26.05728459,144.6813153,0.09066,105.067284,11.1006439,0.10386901,0.109,28.9,57.9,5.99006173809362
"654","2309c",26.2234467,144.9471415,0.04056,81.14572166,6.1494028,0.07287632,0.073,22.4,44.7,2.55222859840543
"655","2310a",108.2496236,101.7009151,1.6364,512.0056755,22.4523631,0.292544241,0.297,141.1,282.1,19.1433392401976
"656","2310b",107.8303313,101.9103739,0.8759,328.5311006,20.7609424,0.218175124,0.235,90.5,181,16.7338006116409
"657","2345a",64.34580467,182.424176,0.2995,332.5016775,9.395134,0.169868072,0.164,91.6,183.2,5.38260081443692
"658","2345b",64.09630572,182.5000411,0.09482,75.44941817,9.0640359,0.111531758,0.13,20.8,41.6,3.8917204867789
"659","234a",0.984274436,187.8361848,4.6238,2288.441746,23.7140453,0.532072588,0.555,630.4,1260.9,17.6774366205001
"660","250a",40.94297872,108.281806,1.4329,437.3969852,21.600521,0.288255207,0.294,120.5,241,17.9847142730824
"661","250b",40.67628602,107.9200201,1.6031,542.5688938,21.497862,0.342097796,0.452,149.5,298.9,9.27801369822083
"662","255a",85.39550095,126.8675597,0.4215,181.6174094,12.59281454,0.219626856,0.22,50,100.1,6.15383644640021
"663","255b",86.10708723,126.8290757,0.37,225.0717699,18.3989862,0.157016506,0.185,62,124,10.5134440884075
"664","255c",86.19539637,127.2228467,3.3314,901.1346539,25.781874,0.433214533,0.457,248.3,496.5,10.9393328966161
"665","255d",85.68940578,127.8829575,2.3084,707.2883897,25.994488,0.378240654,0.4,194.8,389.7,20.1210764737487
"666","255e",85.39512753,127.4798548,1.762,774.1517572,23.036271,0.302496085,0.321,213.3,426.5,16.2090652270673
"667","264a",6.657715486,119.4621982,0.3421,138.7635372,17.8011938,0.191238917,0.199,38.2,76.5,9.60540892316791
"668","264b",6.486556097,120.6349336,0.1789,148.2826863,11.5506523,0.1317,0.137,40.9,81.7,7.99557441185819
"669","264c",7.149573453,119.6477644,0.02889,32.61535407,8.016253,0.080921529,0.09,9,18,2.37131163681333
"670","264d",6.826508137,120.107874,0.10641,61.02088151,11.5979998,0.130802563,0.145,16.8,33.6,9.15683402994237
"671","264e",6.524788313,119.7365921,0.2624,142.0224405,11.9890675,0.174414497,0.188,39.1,78.3,6.41434500615094
"672","264f",6.410796049,120.0599487,1.649,740.4997063,17.89101426,0.322606397,0.329,204,408,6.00909423755318
"673","280a",14.70039818,142.0097107,2.0137,895.5584661,18.0990365,0.381856004,0.372,246.7,493.4,8.67955878469176
"674","280b",12.70767601,142.4921996,0.3461,218.8660357,11.8083307,0.197797136,0.211,60.3,120.6,5.93926519264669
