TLS_ID,stemlocx_[m]_x,stemlocy_[m]_x,Vol_QSM_avg_[m3]_x,BLEN (m),Hgt_pts_[m]_x,DBH_TLS_[m]_x,DBH_census_[m]_x,leaf_area,leaf_area_start
8031,56.01934969,118.1634092,0.07891,110.8248133,9.41661739,0.08831,0.087,30.5,61.1
8033,67.83736291,126.5099828,0.02874,8.748062912,8.0498689,0.08177835,,2.4,4.8
8035,42.96947659,138.6048355,0.0951,81.944792,12.37170827,0.106101631,0.104,22.6,45.1
8040,101.2643985,103.8496182,0.1541,40.56233449,7.7916694,0.16256263,0.165,11.2,22.3
8042,101.7928041,101.6782008,0.03135,58.33790579,8.1721473,0.076331144,0.065,16.1,32.1
8043,102.4754801,105.8481708,0.11485,145.6344133,11.3834644,0.097941263,0.093,40.1,80.2
8054,122.813961,103.7705127,0.011731,20.38301532,4.7897902,0.04618,,5.6,11.2
8055,121.494835,104.1055711,0.01156,14.23648386,6.5494697,0.05855071,0.05,3.9,7.8
8056,117.9362882,105.5097337,0.0591,115.912053,5.4141412,0.05738,0.099,31.9,63.9
8058,136.9360712,121.8203919,0.2113,136.8061918,16.0067306,0.126712812,0.128,37.7,75.4
8059,138.6596594,115.1292472,0.4055,284.9894558,16.5430428,0.161304855,0.135,78.5,157.0
8060,138.5910528,111.3678617,0.08624,159.6157772,6.3395479,0.07087,0.071,44.0,87.9
8065,97.14048207,121.2683018,0.0198,40.04189037,6.3810441,0.038664905,0.044,11.0,22.1
8066,93.33202379,127.1051969,0.1784,250.0705444,10.5627282,0.09441635,0.114,68.9,137.8
8067,93.82842828,126.911399,0.1108,149.6314291,9.3442359,0.066092634,0.08,41.2,82.4
8070,95.00729271,121.939466,0.06443,191.4506195,5.7205383,0.060519873,0.07,52.7,105.5
8072,61.19223648,127.9538219,0.1167,120.6020679,13.1295763,0.090408537,0.102,33.2,66.4
8073,60.72774025,129.590391,0.06342,61.79893246,6.5525963,0.10099,0.098,17.0,34.0
8074,82.32826923,139.7936049,0.4569,326.6231699,15.7062556,0.209759566,0.172,90.0,180.0
8082,59.80274718,135.0631696,0.1573,323.7308328,7.5521692,0.08607,0.091,89.2,178.4
8083,62.24325076,139.0730165,0.08437,139.4879337,7.9376125,0.082634817,0.075,38.4,76.9
8084,63.0890468,146.5910911,0.1956,388.5273374,7.4094174,0.10102,0.125,107.0,214.1
8089,43.74394194,183.3092695,0.01943,11.12891533,6.572969,0.06793,,3.1,6.1
8096,55.4360201,195.6841316,0.008243,16.60148154,5.467612,0.041067246,0.037,4.6,9.1
8097,52.5950676,189.790586,0.01227,35.86795595,4.787471,0.045727881,,9.9,19.8
8098,52.05030184,187.6760332,0.009264,16.58571751,6.720828,0.053925217,0.04,4.6,9.1
8102,53.29354475,194.0291744,0.06236,113.7883384,7.632095,0.07406,0.075,31.3,62.7
8103,51.70286914,194.8965601,0.0631,147.7865219,4.504329,0.0695,0.065,40.7,81.4
8108,113.0198252,186.1997604,0.0491,113.4065516,7.8511811,0.06043,0.064,31.2,62.5
8109,114.2730068,193.2837467,0.08598,168.0632181,8.239736,0.0694,0.071,46.3,92.6
8110,112.8043945,195.8724331,0.09085,138.5872207,6.680218,0.08638,0.081,38.2,76.4
8111,109.3995107,192.4547678,0.02443,55.0470009,5.205582,0.05508,0.052,15.2,30.3
8112,102.5819548,196.039501,0.006852,11.2757451,4.732647,0.070788804,,3.1,6.2
8117,81.98607544,193.9870521,0.1096,133.450043,12.8905299,0.107003138,0.103,36.8,73.5
8126,88.36708405,182.8488219,0.3524,148.9918614,15.9506226,0.196855857,0.195,41.0,82.1
8127,87.34329366,185.3720814,0.04184,81.34781078,7.370292,0.066761459,0.062,22.4,44.8
8128,82.53539701,183.8165044,0.011225,21.95614571,3.855762,0.04472,0.039,6.0,12.1
8129,60.30677821,186.727289,0.3684,267.5455546,9.595298,0.1835,0.192,73.7,147.4
8131,58.76643797,174.4482943,0.1123,235.1767686,6.368258,0.07137,0.074,64.8,129.6
8132,62.23683793,176.4547937,0.2381,347.7533299,11.229788,0.096185813,0.092,95.8,191.6
8139,67.02690228,180.3385998,0.2048,257.451366,10.3909054,0.127926712,0.125,70.9,141.8
