"id","genus","species","scientificname"
48932,"Coursetia",NA,"Coursetia caribaea"
49350,"Melochia",NA,"Melochia pyramidata"
49360,"Melochia",NA,"Melochia spicata"
49370,"Melochia",NA,"Melochia tomentosa"
49373,"Gouania",NA,"Gouania lupuloides"
49394,"Gouania",NA,"Gouania polygama"
49467,"Melothria",NA,"Melothria pendula"
49496,"Lawsonia",NA,"Lawsonia inermis"
49548,"Securidaca",NA,"Securidaca diversifolia"
49878,"Forchhammeria","pallida","Forchhammeria pallida"
49882,"Lonchocarpus","dipteroneurus","Lonchocarpus dipteroneurus"
49883,"Luehea","candida","Luehea candida"
49884,"Mansoa","verrucifera","Mansoa verrucifera"
49912,"Aegiphila",NA,"Aegiphila costaricensis"
49913,"Aegiphila",NA,"Aegiphila lhotzkiana"
49929,"Allophylus",NA,"Allophylus camptostachys"
49937,"Alseis",NA,"Alseis blackiana"
49953,"Annona",NA,"Annona spraguei"
49980,"Aspidosperma",NA,"Aspidosperma megalocarpon"
49981,"Aspidosperma",NA,"Aspidosperma tomentosum"
49993,"Astronium",NA,"Astronium graveolens"
50005,"Baccharis",NA,"Baccharis arbutifolia"
50006,"Baccharis",NA,"Baccharis pedunculata"
50036,"Bowdichia",NA,"Bowdichia virgilioides"
50063,"Calophyllum",NA,"Calophyllum longifolium"
50068,"Campomanesia",NA,"Campomanesia aromatica"
50069,"Capparis",NA,"Capparis aristiguetae"
50071,"Capparis",NA,"Capparis odoratissima"
50073,"Capparis",NA,"Capparis pachaca"
50074,"Capparis",NA,"Capparis verrucosa"
50096,"Cecropia",NA,"Cecropia longipes"
50110,"Chamaedorea",NA,"Chamaedorea pinnatifrons"
50118,"Chuquiraga",NA,"Chuquiraga jussieui"
50130,"Citharexylum",NA,"Citharexylum macradenium"
50134,"Clethra",NA,"Clethra mexicana"
50136,"Clusia",NA,"Clusia stenophylla"
50138,"Coccoloba",NA,"Coccoloba hondurensis"
50163,"Coursetia",NA,"Coursetia arborea"
50168,"Croton",NA,"Croton draco"
50169,"Croton",NA,"Croton schiedeanus"
50176,"Cupania",NA,"Cupania dentata"
50177,"Cupania",NA,"Cupania rufescens"
50182,"Cynometra",NA,"Cynometra retusa"
50188,"Davilla",NA,"Davilla rugosa"
50193,"Desmopsis",NA,"Desmopsis panamensis"
50194,"Dialium",NA,"Dialium guianense"
50205,"Diospyros",NA,"Diospyros cauliflora"
50215,"Diplostephium",NA,"Diplostephium rupestre"
50257,"Erythroxylum",NA,"Erythroxylum cumanense"
50259,"Erythroxylum",NA,"Erythroxylum orinocense"
50293,"Ficus",NA,"Ficus macbridei"
50297,"Ficus",NA,"Ficus yoponensis"
50305,"Garcinia",NA,"Garcinia intermedia"
50336,"Guarea",NA,"Guarea grandifolia"
50471,"Hirtella",NA,"Hirtella punctillata"
50475,"Humiria",NA,"Humiria balsamifera"
50485,"Inga",NA,"Inga punctata"
50491,"Jacquinia",NA,"Jacquinia revoluta"
50498,"Kielmeyera",NA,"Kielmeyera coriacea"
50560,"Lonchocarpus",NA,"Lonchocarpus guatemalensis"
50566,"Loricaria",NA,"Loricaria ilinissae"
50572,"Lunania",NA,"Lunania mexicana"
50573,"Lupinus",NA,"Lupinus kunthii"
50583,"Macairea",NA,"Macairea rufescens"
50603,"Malus",NA,"Malus domestica"
50623,"Miconia",NA,"Miconia albicans"
50624,"Miconia",NA,"Miconia argentea"
50625,"Miconia",NA,"Miconia fallax"
50648,"Myriocarpa",NA,"Myriocarpa longipes"
50651,"Nectandra",NA,"Nectandra ambigens"
50667,"Nototriche",NA,"Nototriche phyllanthos"
50685,"Orthion",NA,"Orthion oblanceolatum"
50687,"Ouratea",NA,"Ouratea hexasperma"
50699,"Parathesis",NA,"Parathesis amplifolia"
50733,"Piper",NA,"Piper peltatum"
50734,"Piper",NA,"Piper umbellatum"
50735,"Piptocarpha",NA,"Piptocarpha rotundifolia"
50751,"Pleuranthodendron",NA,"Pleuranthodendron lindenii"
50787,"Pouteria",NA,"Pouteria durlandii"
50788,"Pouteria",NA,"Pouteria reticulata"
50843,"Psychotria",NA,"Psychotria chiapensis"
50847,"Psychotria",NA,"Psychotria marginata"
50848,"Psychotria",NA,"Psychotria simiarum"
50863,"Qualea",NA,"Qualea grandiflora"
50865,"Quararibea",NA,"Quararibea yunckeri"
50884,"Remijia",NA,"Remijia morilloi"
50885,"Retiniphyllum",NA,"Retiniphyllum concolor"
50907,"Roupala",NA,"Roupala montana"
50976,"Stemmadenia",NA,"Stemmadenia donnell-smithii"
50986,"Swartzia",NA,"Swartzia simplex"
51010,"Tetragastris",NA,"Tetragastris panamensis"
51015,"Tibouchina",NA,"Tibouchina stenocarpa"
51033,"Trophis",NA,"Trophis mexicana"
51045,"Vatairea",NA,"Vatairea lundellii"
51060,"Vismia",NA,"Vismia japurensis"
51061,"Vismia",NA,"Vismia lauriformis"
51085,"Zanthoxylum",NA,"Zanthoxylum ekmanii"
51087,"Zanthoxylum",NA,"Zanthoxylum kellermanii"
51090,"Ziziphus",NA,"Ziziphus jujuba"
51093,"Zuelania",NA,"Zuelania guidonia"
51195,"Rheedia","portoricensis","Rheedia portoricensis"
51196,"Micropholis","chrysophylloides","Micropholis chrysophylloides"
51197,"Ficus","crassinervia","Ficus crassinervia"
51198,"Calycogonium","squamulosum","Calycogonium squamulosum"
51199,"Ficus","sintenisii","Ficus sintenisii"
51200,"Citrus","paradisi","Citrus paradisi"
51205,"Citharexylum","fruticosum","Citharexylum fruticosum"
51206,"Schefflera","morototoni","Schefflera morototoni"
51207,"Pluchea","symphytifolia","Pluchea symphytifolia"
51208,"Cestrum","macrophyllum","Cestrum macrophyllum"
51210,"Samyda","spinulosa","Samyda spinulosa"
51211,"Palicourea","riparia","Palicourea riparia"
51212,"Gonzalagunia","spicata","Gonzalagunia spicata"
51213,"Pothomorphe","umbellata","Pothomorphe umbellata"
51214,"Ocotea","sintenisii","Ocotea sintenisii"
51215,"Heterotrichum","cymosum","Heterotrichum cymosum"
1000000005,"Abarema","auriculata","Abarema auriculata"
1000000006,"Abarema","barbouriana","Abarema barbouriana"
1000000007,"Abarema","claviflora","Abarema claviflora"
1000000008,"Abarema","cochleata","Abarema cochleata"
1000000009,"Abarema","curvicarpa","Abarema curvicarpa"
1000000010,"Abarema","floribunda","Abarema floribunda"
1000000011,"Abarema","gallorum","Abarema gallorum"
1000000012,"Abarema","ganymedea","Abarema ganymedea"
1000000013,"Abarema","killipii","Abarema killipii"
1000000014,"Abarema","laeta","Abarema laeta"
1000000015,"Abarema","leucophylla","Abarema leucophylla"
1000000017,"Abarema","microcalyx","Abarema microcalyx"
1000000018,"Abarema","piresii","Abarema piresii"
1000000019,"Abarema","racemiflora","Abarema racemiflora"
1000000020,"Abatia","canescens","Abatia canescens"
1000000021,"Abatia","parviflora","Abatia parviflora"
1000000022,"Abatia","spicata","Abatia spicata"
1000000023,"Abatia","stellata","Abatia stellata"
1000000025,"Abuta","aristeguietae","Abuta aristeguietae"
1000000026,"Abuta","dwyerana","Abuta dwyerana"
1000000027,"Abuta","fluminum","Abuta fluminum"
1000000028,"Abuta","grandifolia","Abuta grandifolia"
1000000029,"Abuta","grisebachii","Abuta grisebachii"
1000000030,"Abuta","macrocarpa","Abuta macrocarpa"
1000000031,"Abuta","mycetandra","Abuta mycetandra"
